offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
Offer,2023 Spring,Australian National University,computing,211 & 985,3.32/4,EE,,,
Offer,2022 Fall,University of Glasgow,Computer Systems Engineering,211 & 985,3.32/4,EE,,,
Offer,2022 Fall,University of Glasgow,software development,211 & 985,3.32/4,EE,,,
Offer,2022 Fall,The University of Nottingham,Human Computer Interaction,211,74,other,,83,
Offer,2022 Fall,University of Technology Sydney,Computer Science,双非,88/100,other,,,
Offer,2022 Fall,Imperial College London,Computer Science,rugby; school,,other,,,
Offer,2022 Fall,Nanyang Technological University,Computer Science,211 & 985,保研末流水平,other,,,
Offer,2022 Fall,The Hong Kong University of Science and Technology,Department of Electronic and Computer Engineering,211 & 985,保研末流水平,other,,,
Offer,2023 Spring,Fairleigh Dickinson University,Computer Science,Leeds University,,other,HKUST,,Civil Engineering
被拒,2022 Fall,Concordia University,Computer Science,Leeds University,,other,HKUST,,Civil Engineering
Offer,2023 Spring,York University,Computer Science,Leeds University,,other,HKUST,,Civil Engineering
AD无奖,2022 Fall,University of Edinburgh,Artificial Intelligence,英本top10,83+,other,,,
AD无奖,2022 Fall,digital master school,human computer interaction design,,,other,,,
被拒,2022 Fall,Erasmus Mundus,EMECS (European Master in Embedded Computing Systems),江苏某独立学院,80,other,,,
被拒,2021 Fall,Xi’an Jiaotong-liverpool University,Computer Science,江苏某独立学院,80,other,,,
被拒,2022 Fall,National University of Singapore,Computer Engineering,江苏某独立学院,80,other,,,
被拒,2021 Fall,University of Edinburgh,High Performance Computing,江苏某独立学院,80,other,,,
AD无奖,2022 Fall,Kings College London,Comparative Literature,清华/北大/中科大,86/100,other,,,
AD无奖,2022 Fall,National University of Singapore,Artificial Intelligence,双非,3.58/4.0,other,,,
AD无奖,2022 Fall,Lakehead University,Computer Science,双非,78 / 100,other,,,
AD无奖,2022 Fall,University Of Southampton,Computer Science,211,加权3.56/5.0,other,,,
被拒,2022 Fall,National University of Singapore,International and comparative law,双非,3.73/4.0,other,,,
AD无奖,2022 Fall,University of Ottawa,Computer Science,北京工业大学,,other,,,
被拒,2022 Fall,University of Victoria,Computer Science,北航,89,other,,,
AD无奖,2022 Fall,Nanyang Technological University,Artificial Intelligence,北航,89,other,,,
AD无奖,2022 Fall,University of Ottawa,Computer Science,北航,89,other,,,
AD无奖,2022 Fall,McMaster University,Computing and software,北航,89,other,,,
AD无奖,2021 Fall,University of Bath,Artificial Intelligence,211,85.04/专排15%,other,Hong Kong University of Science and Technology,3.3/4.3,Electronic Engineering
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,双非,3.65（top 5%）,other,,,
Offer,2022 Fall,Western University,Electrical and Computer Engineering,双非,3.65（top 5%）,other,,,
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,双非,3.65（top 5%）,other,,,
AD无奖,2022 Fall,FDU-Vancouver Faireigh Dickinson,Applied Computer Science,211 & 985,88,other,Imperial,,CS
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211 & 985,3.64/4.0,other,,,
Offer,2022 Fall,University of Zurich,International and Comparative Law,211,,other,,,
AD无奖,2022 Fall,National University of Singapore,Computer Science,211 & 985,90.8,other,,,
Offer,2022 Fall,Georgia Institute of Technology,Electrical and Computer Engineering,211 & 985,3.58/4.00,other,华中科技大学,很低,
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,211,3.4/4.0,other,,,
AD无奖,2022 Fall,Nanyang Technological University,Artificial Intelligence,211 & 985,90.8,other,,,
Offer,2022 Fall,University of Leeds 利兹大学,Computer Science 计算机科学,211,,other,,,
Offer,2022 Fall,Nanyang Technological University,Artificial Intelligence,末流985,87/100,other,,,
Offer,2022 Fall,City University of Hong Kong,Department of Computer Science,211 & 985,,other,211 & 985,,
AD无奖,2022 Fall,National University of Singapore,Computer Science,211,"3.75/4, 89.3/100, ranking top 5%",other,,,
被拒,2022 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,211,84,other,,,
Offer,2022 Fall,University of Bristol,Comparative Literatures and Cultures,双非,88.9,other,,,
AD小奖,2022 Fall,Duke University,ECE software development track,英本,83.3,other,,,
AD无奖,2022 Fall,University of Edinburgh,Artificial Intelligence,英本,83.3,other,,,
Offer,2022 Fall,University College London,Scientific and data intensive computing,英本,83.3,other,,,
被拒,2022 Fall,Swiss Federal Institute of Technology in Zurich,Computational Science and Engineering,双非, gpa: 3.3+/4.0 (overall) ; gpa: 3.6+/4.0,other,,,
AD无奖,2022 Fall,Bishops University,Computer Science,211 & 985,3.0,other,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Lakehead University,Electrical and  Computer Engineering,211 & 985,3.0,other,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Memorial University,Computer Engineering,211 & 985,3.0,other,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Fairleigh Dickinson University Vancouver,Master of Science in Applied Computer Science,211 & 985,3.0,other,211 & 985,3.6,无线通信
Offer,2022 Fall,VU University Amsterdam &amp; University of Amsterdam,Computer Science,211,88+,other,,,
Offer,2022 Fall,University of Copenhagen,Computer Science,211,88+,other,,,
Offer,2022 Fall,University of Twente,Computer Science,211,88+,other,,,
Offer,2022 Fall,Utrecht University,Computing Science,211,88+,other,,,
被拒,2022 Fall,Politecnico di Milano,Computer Science and Engineering,211,88+,other,,,
被拒,2022 Spring,National University of Singapore,Artificial Intelligence,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,University of Groningen,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Fall,University of Kyoto,Computer Science,双非,3.0/5.0,other,,,
被拒,2022 Fall,Utrecht University,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Fall,Aalborg University,Computer Science,双非,3.0/5.0,other,,,
被拒,2022 Fall,University of Twente,Artificial Intelligence,双非,3.0/5.0,other,,,
Offer,2022 Fall,Eindhoven University of Technology,Artificial Intelligence and Engineering Systems,双非,3.0/5.0,other,,,
AD无奖,2022 Spring,University Leiden,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Summer,University of Passau,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Fall,Aarhus University,Computer Science,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,VU University Amsterdam,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Summer,Technische Universität Berlin,Computer Science,双非,3.0/5.0,other,,,
Waiting list,2022 Fall,The University of Hong Kong,Artificial Intelligence,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,University Leiden,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Fall,University of Copenhagen,Computer Science,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,Technical University of Denmark,Computer Science,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,Maastricht University,Artificial Intelligence,双非,3.0/5.0,other,,,
被拒,2022 Fall,Eindhoven University of Technology,Data Science and Artificial Intelligence,双非,3.0/5.0,other,,,
AD无奖,2022 Fall,Lakehead University,Computer Science,,78 / 100,other,,,
Offer,2022 Fall,Technical University of Denmark,Computer Science,北京邮电大学,85,other,,,
Offer,2022 Fall,University of Toronto,Electrical and Computer Engineering,北京邮电大学,85,other,,,
Offer,2022 Fall,University of Helsinki,Computer Science,奥卢大学,3.92,other,,,
Waiting list,2022 Fall,Royal Institute of Technology,Computer Software Engineering,奥卢大学,3.92,other,,,
Waiting list,2022 Fall,Aalto University,Computer Software Engineering,奥卢大学,3.92,other,,,
Offer,2022 Fall,Chalmers University of Technology,Software Engineering and Technology,奥卢大学,3.92,other,,,
AD无奖,2022 Fall,Chalmers University of Technology,Engineering Mathematics and Computational Science,,90|4.0/5.0,other,,,
AD无奖,2022 Fall,University of Washington,Applied and Computational Mathematics,,90|4.0/5.0,other,,,
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211 & 985,86.25/100,other,,,
Offer,2022 Fall,University of Macau,Computer Science,吉林大学,81多点,other,,,
被拒,2022 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,吉林大学,81多点,other,,,
Offer,2022 Fall,University of Zurich 苏黎世大学,computational linguistics,211 & 985,86.75,other,,,
AD无奖,2022 Fall,The University of Hong Kong,Computer Science (General Stream),211,"88.9/100, 排名9/84",other,,,
Offer,2022 Fall,"The Chinese University of Hong Kong, Shengzhen",Computer and Information Engineering,211,"88.9/100, 排名9/84",other,,,
AD无奖,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211,"88.9/100, 排名9/84",other,,,
Offer,2022 Fall,Northeastern University,Computer Science,211,85,other,,,
