offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
Offer,2023 Spring,Australian National University,computing,211 & 985,3.32/4,信息工程,"","",""
Offer,2022 Fall,University of Glasgow,Computer Systems Engineering,211 & 985,3.32/4,信息工程,"","",""
Offer,2022 Fall,University of Glasgow,software development,211 & 985,3.32/4,信息工程,"","",""
Offer,2022 Fall,The University of Nottingham,Human Computer Interaction,211,74,药学,"",83,""
Offer,2022 Fall,University of Technology Sydney,Computer Science,双非,88/100,CS,"","",""
Offer,2022 Fall,Imperial College London,Computer Science,rugby; school,"","","","",""
Offer,2022 Fall,Nanyang Technological University,Computer Science,211 & 985,保研末流水平,集成电路设计与集成系统,"","",""
Offer,2022 Fall,The Hong Kong University of Science and Technology,Department of Electronic and Computer Engineering,211 & 985,保研末流水平,集成电路设计与集成系统,"","",""
Offer,2023 Spring,Fairleigh Dickinson University,Computer Science,Leeds University,"",Civil Engineering,HKUST,"",Civil Engineering
被拒,2022 Fall,Concordia University,Computer Science,Leeds University,"",Civil Engineering,HKUST,"",Civil Engineering
Offer,2023 Spring,York University,Computer Science,Leeds University,"",Civil Engineering,HKUST,"",Civil Engineering
AD无奖,2022 Fall,University of Edinburgh,Artificial Intelligence,英本top10,83+,工科,"","",""
AD无奖,2022 Fall,digital master school,human computer interaction design,"","","","","",""
被拒,2022 Fall,Erasmus Mundus,EMECS (European Master in Embedded Computing Systems),江苏某独立学院,80,电子信息工程,"","",""
被拒,2021 Fall,Xi’an Jiaotong-liverpool University,Computer Science,江苏某独立学院,80,电子信息工程,"","",""
被拒,2022 Fall,National University of Singapore,Computer Engineering,江苏某独立学院,80,电子信息工程,"","",""
被拒,2021 Fall,University of Edinburgh,High Performance Computing,江苏某独立学院,80,电子信息工程,"","",""
AD无奖,2022 Fall,Kings College London,Comparative Literature,清华/北大/中科大,86/100,汉语言文学,"","",""
AD无奖,2022 Fall,National University of Singapore,Artificial Intelligence,双非,3.58/4.0,cs,"","",""
AD无奖,2022 Fall,Lakehead University,Computer Science,双非,78 / 100,计算机相关,"","",""
AD无奖,2022 Fall,University Of Southampton,Computer Science,211,加权3.56/5.0,计算机科学与技术,"","",""
被拒,2022 Fall,National University of Singapore,International and comparative law,双非,3.73/4.0,法学,"","",""
AD无奖,2022 Fall,University of Ottawa,Computer Science,北京工业大学,"",软工,"","",""
被拒,2022 Fall,University of Victoria,Computer Science,北航,89,计算机科学与技术,"","",""
AD无奖,2022 Fall,Nanyang Technological University,Artificial Intelligence,北航,89,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Ottawa,Computer Science,北航,89,计算机科学与技术,"","",""
AD无奖,2022 Fall,McMaster University,Computing and software,北航,89,计算机科学与技术,"","",""
AD无奖,2021 Fall,University of Bath,Artificial Intelligence,211,85.04/专排15%,机械设计制造及其自动化,Hong Kong University of Science and Technology,3.3/4.3,Electronic Engineering
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,双非,3.65（top 5%）,信息与计算科学,"","",""
Offer,2022 Fall,Western University,Electrical and Computer Engineering,双非,3.65（top 5%）,信息与计算科学,"","",""
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,双非,3.65（top 5%）,信息与计算科学,"","",""
AD无奖,2022 Fall,FDU-Vancouver Faireigh Dickinson,Applied Computer Science,211 & 985,88,计算机科学与技术,Imperial,"",CS
AD无奖,2022 Fall,University of Copenhagen,Computer Science,211 & 985,3.64/4.0,计算机,"","",""
Offer,2022 Fall,University of Zurich,International and Comparative Law,211,"",法学,"","",""
AD无奖,2022 Fall,National University of Singapore,Computer Science,211 & 985,90.8,软件工程,"","",""
Offer,2022 Fall,Georgia Institute of Technology,Electrical and Computer Engineering,211 & 985,3.58/4.00,"",华中科技大学,很低,""
Offer,2022 Fall,University of Waterloo,Electrical and Computer Engineering,211,3.4/4.0,纳米材料与技术,"","",""
AD无奖,2022 Fall,Nanyang Technological University,Artificial Intelligence,211 & 985,90.8,软件工程,"","",""
Offer,2022 Fall,University of Leeds 利兹大学,Computer Science 计算机科学,211,"",cs,"","",""
Offer,2022 Fall,Nanyang Technological University,Artificial Intelligence,末流985,87/100,软件工程,"","",""
Offer,2022 Fall,City University of Hong Kong,Department of Computer Science,211 & 985,"",EE,211 & 985,"",""
AD无奖,2022 Fall,National University of Singapore,Computer Science,211,"3.75/4, 89.3/100, ranking top 5%",CS相关（非CS）,"","",""
被拒,2022 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,211,84,CS,"","",""
Offer,2022 Fall,University of Bristol,Comparative Literatures and Cultures,双非,88.9,"","","",""
AD小奖,2022 Fall,Duke University,ECE software development track,英本,83.3,车辆工程,"","",""
AD无奖,2022 Fall,University of Edinburgh,Artificial Intelligence,英本,83.3,车辆工程,"","",""
Offer,2022 Fall,University College London,Scientific and data intensive computing,英本,83.3,车辆工程,"","",""
被拒,2022 Fall,Swiss Federal Institute of Technology in Zurich,Computational Science and Engineering,双非, gpa: 3.3+/4.0 (overall) ; gpa: 3.6+/4.0,电子信息工程 Electronic Information Engineerin,"","",""
AD无奖,2022 Fall,Bishops University,Computer Science,211 & 985,3.0,电信,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Lakehead University,Electrical and  Computer Engineering,211 & 985,3.0,电信,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Memorial University,Computer Engineering,211 & 985,3.0,电信,211 & 985,3.6,无线通信
AD无奖,2022 Fall,Fairleigh Dickinson University Vancouver,Master of Science in Applied Computer Science,211 & 985,3.0,电信,211 & 985,3.6,无线通信
Offer,2022 Fall,VU University Amsterdam &amp; University of Amsterdam,Computer Science,211,88+,计算机科学与技术,"","",""
Offer,2022 Fall,University of Copenhagen,Computer Science,211,88+,计算机科学与技术,"","",""
Offer,2022 Fall,University of Twente,Computer Science,211,88+,计算机科学与技术,"","",""
Offer,2022 Fall,Utrecht University,Computing Science,211,88+,计算机科学与技术,"","",""
被拒,2022 Fall,Politecnico di Milano,Computer Science and Engineering,211,88+,计算机科学与技术,"","",""
